Last Name,Nom de famille,
Tools,Outils,
No {0} found with matching filters. Clear filters to see all {0}.,Aucun enregistrement {0} ne correspond aux filtres. Enlevez les filtres pour voir tous les enregistrements.,
Build,Développement,
Full Name,Nom complet,
Username,Nom d'utilisateur,
Email Template,Modèle d'e-mail,
Type a reply / comment,Entrez un commentaire,
User Details,Détails de l'utilisateur,
Assigned To,Assigné à,
Help,Aide,
Hide Tags,Cacher les étiquettes,
Edit Filters,Éditer les filtres,
About,A propos,
Your Shortcuts,Vos raccourcis,
Dismiss,Fermer,
Time Zone,Fuseau horaire,
Time Zones,Fuseaux horaires,
Verify Password,Vérifier le mot de passe,
Password,Mot de passe,
Search or type a command (Ctrl + G),Rechercher (Ctrl + G),
You changed the value of {0},Vous avez changé la valeur de {0},
You changed the value of {0} {1},Vous avez changé la valeur de {0} {1},
You changed the values for {0},Vous avez changé la valeur pour {0},
You changed the values for {0} {1},Vous avez changé la valeur pour {0} {1},
{0} minutes ago,il y a {0} minutes,
{0} months ago,il y a {0} mois,
{0} hours ago,il y a {0} heures,
{0} days ago,il y a {0} jours,
{0} weeks ago,il y a {0} semaines,
{0} years ago,il y a {0} ans,
Undo,Défaire,
Redo,Refaire,
User Type,Type d'utilisateur,
Date Format,Format de date,
Number Format,Format numérique,
Rounding Method,Méthode d'arrondi,
Banker's Rounding,Arrondi des banquiers,
Commercial Rounding,Arrondi des commerciaux,
Disable Document Sharing,Désactiver le partage de documents,
Encrypt Backups,Chiffrer les sauvegardes,
First Day of the Week,Premier jour de la semaine,
Choose an icon,Choisir une icône,
Search for icons...,Rechercher une icône...,
Indicator color,Couleur de l'indicateur,
pink,rose,
gray,gris,
grey,gris,
light-blue,bleu clair,
Page Saved Successfully,Page enregistrée avec succès,
My Workspaces,Mes espaces de travail,
Is Hidden,Est caché,
Quick Lists,Listes rapides,
Custom Blocks,Blocs personnalisés,
Add Row,Ajouter une ligne,
Go to {0},Aller à {0},
Go to Workspace,Aller à l'espace de travail,
We do not allow editing of this document. Simply click the Edit button on the workspace page to make your workspace editable and customize it as you wish,Nous n'autorisons pas l'édition de ce document. Il vous suffit de cliquer sur le bouton Modifier de la page de l'espace de travail pour rendre votre espace de travail modifiable et le personnaliser comme vous le souhaitez.,
For User,Pour l'utilisateur,
Workflow,Flux de travail,
Dashboard Chart,Graphique de tableau de bord,
Choose a color,Choisissez une couleur,
"If set, only user with these roles can access this chart. If not set, DocType or Report permissions will be used.","Si cette option est activée, seuls les utilisateurs ayant ces rôles peuvent accéder à ce graphique. Si ce n'est pas le cas, les autorisations DocType ou Report seront utilisées.",
"Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]","Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]",
Timeseries,Séries temporelles,
Permission Manager,Gestionnaire des permissions,
Activity Log,Journal d'activité,
Acces Log,Journal d'accès,